"added_at","arist_id","artist_name","album_name","track_duration_ms","track_explicit_flag","track_id","track_name","track_popularity","album_image","track_preview","danceability","energy","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","temp","time_signature"
"2016-07-02T16:42:30Z","720fJ5sGqAOhvU2IUypqIr","Lennon & Maisy","That's What's Up",195083,FALSE,"5cmvTvxqKFhr7U5sjNQ7Ce","That's What's Up",51,"https://i.scdn.co/image/757214f634a4883e412521f199db85176a7c3612","https://p.scdn.co/mp3-preview/e1f7f9069f0a3a6f1282a80ea9b83fc81a7da070",0.453,0.274,-10.572,1,0.0406,0.832,0,0.18,0.481,203.478,4
"2016-07-02T16:50:11Z","720fJ5sGqAOhvU2IUypqIr","Lennon & Maisy","Lean On",154873,FALSE,"6vitsF2KtpS8eiyZ4fJXc3","Lean On",49,"https://i.scdn.co/image/5bfc0d3c6e1732ba4aa351c96ddc27973d70d650","https://p.scdn.co/mp3-preview/6f4c83c3a2c96f70dccafebe0ffab7a9d4611d80",0.578,0.657,-7.42,1,0.0462,0.106,0,0.111,0.487,89.931,4
"2016-07-02T16:52:01Z","720fJ5sGqAOhvU2IUypqIr","Lennon & Maisy","Big Yellow Taxi",133235,FALSE,"4p0mcDUnm4Zfk644WNJqSp","Big Yellow Taxi",46,"https://i.scdn.co/image/0aca290ea07b0da01e972106c181fefacb91a1ab","https://p.scdn.co/mp3-preview/354a34ab0b85b0fb5af8258eaf690b83d81e3aaa",0.652,0.269,-14.082,1,0.0513,0.849,0,0.09,0.518,170.019,4
"2016-07-02T16:54:57Z","720fJ5sGqAOhvU2IUypqIr","Lennon & Maisy","Lennon and Maisy Live Youtube Sessions",170866,FALSE,"5dw7mpYMfKz7N0OdtJAiXT","I Won't Give Up",45,"https://i.scdn.co/image/b406e4d8b4ac544d808599b7c84b2e27b370ed44","https://p.scdn.co/mp3-preview/26ad3507d88e9e68e3465e4f33670b3fea26d0a7",0.479,0.205,-9.291,1,0.034,0.841,0,0.31,0.316,96.425,4
"2016-07-03T22:13:08Z","1xU878Z1QtBldR7ru9owdU","Phoenix","Wolfgang Amadeus Phoenix",193106,FALSE,"5JtPGzRgrWxkXX9LoROq3d","1901",66,"https://i.scdn.co/image/dd50cf172806b09c1596579d8e921eb868c4d17c","https://p.scdn.co/mp3-preview/67fcb35dfbcf3d5d85d5eb0254963513f2e93666",0.604,0.825,-5.373,1,0.0429,0.0564,5.8e-05,0.192,0.694,144.085,4
"2016-07-03T22:13:13Z","1xU878Z1QtBldR7ru9owdU","Phoenix","Wolfgang Amadeus Phoenix",241640,FALSE,"6ZrlXT6mUMEgomN128iekU","Lisztomania",64,"https://i.scdn.co/image/dd50cf172806b09c1596579d8e921eb868c4d17c","https://p.scdn.co/mp3-preview/cf0446e315a586cd6ba02cf023d36d4b356d401d",0.642,0.808,-6.406,1,0.0463,0.0383,0.00829,0.547,0.27,97.565,4
"2016-07-10T21:26:14Z","2qxJFvFYMEDqd7ui6kSAcq","Zedd","Candyman",178920,FALSE,"0NWQTyapmz4GuDTSN9xTB7","Candyman",70,"https://i.scdn.co/image/3f35f172ab3e708f25a20b1c5650ca41a31bced4","https://p.scdn.co/mp3-preview/33bd49a1a99a31eeaac36a4385070dcbfd28ef8b",0.573,0.875,-4.057,0,0.0523,0.0232,0,0.356,0.24,149.974,4
"2016-07-10T21:38:11Z","1DSiGgKmYME4LpVa5WaMC6","Beth Parks","We Hold Each Other (Acoustic Version)",168550,FALSE,"1DsUHtx6sKA6tYLaxtIhl2","We Hold Each Other (Acoustic Version)",44,"https://i.scdn.co/image/a07959c5500e6265fb279bba9079b2e3460b9835","https://p.scdn.co/mp3-preview/245cf95152e1c0968714fee31d8a40efa62012e0",0.367,0.305,-9.726,1,0.0343,0.737,4.99e-06,0.115,0.178,158.916,4
"2016-07-10T22:01:15Z","6C7VkLRszFSbRkKNhEvBST","Kelleigh Bannen","Famous",192026,FALSE,"63h8NWgLqvSo5XKfc6vvns","Famous",44,"https://i.scdn.co/image/880ea6207d84d926686f6251d315c105404242c8","https://p.scdn.co/mp3-preview/df43dd9ca8bb87d90abafe41d578f338043fddb7",0.631,0.838,-5.369,1,0.03,0.0178,1.22e-06,0.331,0.707,145.907,4
"2016-07-10T22:01:24Z","5P5FTygHyx2G57oszR3Wot","Daughtry","Baptized (Deluxe Version)",232133,FALSE,"0YpzP03QziAgqcZSCtjbl2","Battleships",56,"https://i.scdn.co/image/8a5acd633bbf12080c915f8c638dd158eea2d1a9","https://p.scdn.co/mp3-preview/a70e6a3de05ddd054e607c3d7638d93fe0533a0a",0.49,0.746,-4.951,1,0.0405,0.0121,0,0.0624,0.344,81.848,4
